label,content
Spam,Nhận ưu đãi miễn phí cho sản phẩm mới!
Spam,Giảm giá 50% cho tất cả các mặt hàng!
Spam,"Khuyến mãi lớn, nhấp vào đây để nhận!"
Spam,Bạn đã thắng giải thưởng trị giá 1000 đô la!
Spam,"Đừng bỏ lỡ cơ hội này, nhấp vào liên kết!"
Spam,"Mua một, tặng một miễn phí trong hôm nay!"
Spam,"Cơ hội đầu tư tuyệt vời, hãy tham gia ngay!"
Spam,Nhấn vào đây để nhận quà tặng!
Spam,Hãy kiểm tra tài khoản của bạn để nhận phần thưởng!
Spam,Giảm giá đặc biệt chỉ trong hôm nay!
Not Spam,Thông báo từ ngân hàng về tài khoản của bạn.
Not Spam,Cập nhật dịch vụ từ nhà cung cấp của bạn.
Not Spam,Thông tin về đơn hàng mà bạn đã đặt.
Not Spam,Cảm ơn bạn đã đăng ký nhận bản tin của chúng tôi.
Not Spam,Đừng quên thanh toán hóa đơn của bạn vào cuối tháng này.
Not Spam,Hướng dẫn sử dụng dịch vụ mới đã được cập nhật.
Not Spam,Mời bạn tham gia hội thảo trực tuyến về công nghệ mới.
Not Spam,Chúng tôi đã nhận được yêu cầu hỗ trợ của bạn và đang xử lý.
Not Spam,Lịch trình cuộc họp của bạn vào thứ Hai tới đã được xác nhận.
Not Spam,Bạn có một tin nhắn mới từ người bạn của bạn.
Spam,Chúc mừng bạn đã thắng giải thưởng trị giá 500 đô la! Nhấp vào liên kết dưới đây để nhận phần thưởng của bạn ngay bây giờ. Đừng bỏ lỡ cơ hội này!
Not Spam,"Xin chào, đây là thông báo từ ngân hàng của bạn. Bạn có một giao dịch mới trong tài khoản. Vui lòng kiểm tra tài khoản của bạn để biết thêm chi tiết."
Spam,Nhận ưu đãi 70% cho tất cả sản phẩm trong tuần này! Nhấp vào đây để biết thêm chi tiết.
Spam,Bạn có muốn kiếm tiền từ nhà? Hãy tham gia chương trình đầu tư của chúng tôi ngay hôm nay!
Spam,Miễn phí giao hàng cho đơn hàng đầu tiên! Đặt hàng ngay bây giờ!
Spam,Đừng bỏ lỡ cơ hội cuối cùng! Khuyến mãi chỉ diễn ra trong 24 giờ!
Spam,Tài khoản của bạn đã bị tạm ngừng! Nhấp vào liên kết để xác nhận thông tin.
Spam,Cảm ơn bạn đã tham gia! Bạn đã nhận được quà tặng miễn phí!
Spam,Chỉ cần trả 1 đô la để nhận phần thưởng lớn! Hãy nhanh tay lên!
Spam,Hãy kiểm tra ngay chiến dịch giảm giá lớn nhất năm!
Spam,Đầu tư vào tiền điện tử ngay hôm nay và kiếm lợi nhuận lớn!
Spam,Nhấp vào đây để tham gia chương trình giảm giá đặc biệt cho thành viên mới!
Not Spam,Thông báo từ ngân hàng: Đã có một giao dịch mới trên tài khoản của bạn.
Not Spam,Cảm ơn bạn đã đăng ký nhận bản tin của chúng tôi.
Not Spam,Bạn có một tin nhắn mới từ đồng nghiệp.
Not Spam,Đây là thông báo về cuộc họp vào thứ Tư tuần tới.
Not Spam,Hướng dẫn sử dụng ứng dụng mới đã được gửi đến bạn.
Not Spam,Đừng quên thanh toán hóa đơn của bạn vào cuối tháng này.
Not Spam,Chúng tôi đã nhận được yêu cầu hỗ trợ của bạn và đang xử lý.
Not Spam,Lịch trình phỏng vấn của bạn đã được xác nhận cho ngày mai.
Not Spam,"Xin chào, chúng tôi muốn mời bạn tham gia hội thảo về công nghệ mới."
Not Spam,Cập nhật từ nhóm phát triển: Chúng tôi đã triển khai bản cập nhật mới cho sản phẩm.
Spam,Miễn phí vé xem phim cho khách hàng mới! Nhấn vào đây để nhận ngay.
Spam,"Bạn đã được chọn là người may mắn, hãy nhấn vào đây để nhận giải thưởng ngay lập tức!"
Spam,"Cơ hội đầu tư vào bất động sản có lợi nhuận khủng, hãy nhấp vào đây!"
Spam,"Giảm giá 90% cho tất cả sản phẩm, chỉ còn hôm nay!"
Spam,Bạn đã trúng phiếu quà tặng trị giá 500.000 VNĐ! Bấm để nhận ngay.
Spam,Tài khoản của bạn có thể bị khóa! Hãy nhấp vào đây để xác nhận thông tin.
Spam,Đăng ký khóa học miễn phí về cách kiếm tiền từ nhà!
Spam,Tham gia chương trình khuyến mại ngay hôm nay và nhận phần thưởng lớn!
Spam,Nhận ngay một điện thoại miễn phí khi đăng ký dịch vụ!
Spam,Tăng thu nhập của bạn gấp đôi bằng cách tham gia ngay hôm nay!
Spam,Đừng bỏ lỡ cơ hội này! Nhận ưu đãi giảm giá chỉ trong 24 giờ!
Spam,"Cơ sở giải mã thưởng lớn, nhấn vào đây để tham gia ngay!"
Not Spam,"Hóa đơn của bạn đã có sẵn, vui lòng kiểm tra trước khi thanh toán."
Not Spam,Bạn có một thông báo mới từ ứng dụng khách hàng dịch vụ.
Not Spam,Vui lòng xác nhận tham gia sự kiện trực tuyến vào tuần tới.
Not Spam,Thông báo về bản cập nhật bảo mật cho tài khoản của bạn.
Not Spam,Vui lòng kiểm tra báo cáo tài chính chính mới nhất từ ​​hệ thống.
Not Spam,"Đơn hàng của bạn đã được giao, xin vui lòng xác nhận đã nhận hàng."
Not Spam,"Chúng tôi đã xử lý yêu cầu đổi sản phẩm trả tiền của bạn, vui lòng kiểm tra email."
Not Spam,"Hệ thống bảo trì thông báo vào cuối tuần này, dịch vụ có thể bị gián đoạn."
Not Spam,"Cảm ơn bạn đã tham gia cuộc khảo sát của chúng tôi, đây là phần thưởng của bạn."
Not Spam,"Cuộc hội thảo dự kiến ​​vào 10 giờ sáng ngày mai, xin mời tham gia đúng giờ."
Not Spam,"Chúng tôi đã nhận được phản hồi của bạn về sản phẩm mới, cảm ơn sự đóng góp của bạn."
Spam,"Cơ hội nhận thưởng 1000 đô la, bấm vào đây để tham gia ngay!"
Spam,"Mua một được hai, ưu đãi chỉ hôm nay"
Spam,Hãy tham gia chương trình đầu tư ngay và nhận lãi suất cao!
Spam,"Bạn đã chọn phần thưởng, hãy nhấn vào đây để xác nhận."
Spam,"Tài khoản của bạn có nguy cơ bị khóa, hãy nhấp vào đây để bảo vệ ngay lập tức."
Spam,Hãy đặt hàng ngay hôm nay để nhận được ưu đãi giao hàng miễn phí!
Spam,"Cơ sở sở hữu sản phẩm công nghệ với giá giảm 70%, nhanh chóng lên!"
Spam,"Đừng bỏ lỡ cơ hội nhận quà miễn phí, hãy nhấp vào đây để nhận ngay!"
Spam,"Chương trình ưu đãi đặc biệt, giảm giá đến 90% cho khách hàng thân thiết."
Spam,Đăng ký ngay hôm nay để nhận phần thưởng lớn từ chương trình của chúng tôi.
Not Spam,"Thông báo về việc nâng cấp dịch vụ, vui lòng kiểm tra email để biết thêm chi tiết."
Not Spam,"Đơn hàng của bạn đã được xác nhận, sẽ giao hàng vào ngày mai."
Not Spam,Mời bạn tham gia dự hội thảo trực tuyến về xu hướng công nghệ mới.
Not Spam,"Đây là thông báo quan trọng về tài khoản của bạn, vui lòng kiểm tra ngay."
Not Spam,Vui lòng cập nhật mật khẩu của bạn để đảm bảo an toàn thông tin.
Not Spam,"Hóa đơn của bạn sẽ đến hạn thanh toán vào cuối tháng này, đừng quên nhé!"
Not Spam,Thông tin về chuyến đi sắp xếp của bạn đã được cập nhật trong hệ thống.
Not Spam,Chúng tôi đã nhận được phản hồi của bạn và sẽ xử lý trong thời gian sớm nhất.
Not Spam,"Thông báo quan trọng về lịch trình cuộc họp vào tuần tới, vui lòng kiểm tra email."
Not Spam,"Bản tin hàng tháng của chúng tôi đã có sẵn, bạn có thể xem tại liên kết này."
Spam,Bạn đã trúng được 1 chuyến du lịch miễn phí! Bấm vào đây để nhận ngay.
Spam,"Nhận ngay khoản vay ưu đãi với lãi suất thấp, chỉ trong tuần này!"
Spam,Kiếm 1000 đô la mỗi ngày từ nhà mà không cần kinh nghiệm! Nhấn để biết thêm chi tiết.
Spam,Số tài khoản dư thừa của bạn có thể bị đóng băng! Xác minh thông tin ngay bằng cách nhấp vào đây.
Spam,"Đặt vé máy bay với giá giảm 80%, ưu đãi chỉ có trong hôm nay!"
Spam,Đăng ký ngay để nhận phần thưởng hấp dẫn từ chương trình khuyến mãi của chúng tôi.
Spam,"Nhận quà ngay khi tham khảo khảo sát, nhấp vào đây để bắt đầu."
Spam,"Bạn chưa nhận được một tài khoản nào, hãy nhấn vào đây để yêu cầu nhận ngay!"
Spam,Mua sản phẩm có giá giảm đến 90% và nhận thêm quà tặng miễn phí.
Spam,Đăng ký dịch vụ bảo mật mới và nhận thêm 1 tháng miễn phí!
Not Spam,"Hóa đơn tiền điện của bạn đã có sẵn, vui lòng thanh toán trước ngày 30."
Not Spam,"Chúng tôi đã nhận được yêu cầu đặt vé của bạn, vui lòng kiểm tra email để biết chi tiết."
Not Spam,"Cập nhật mới từ dự án bạn đang tham gia, vui lòng truy cập hệ thống để xem."
Not Spam,Thông báo về công việc bảo trì hệ thống ngân hàng vào cuối tuần này.
Not Spam,Bạn có một tin nhắn mới từ bộ phận hỗ trợ khách hàng.
Not Spam,"Đây là thông báo về kế hoạch nghỉ lễ của công ty, vui lòng kiểm tra email."
Not Spam,"Chuyến đi của bạn đã được thay đổi, vui lòng kiểm tra lịch trình mới."
Not Spam,Vui lòng kiểm tra email của bạn để nhận hướng dẫn sử dụng sản phẩm mới.
Not Spam,"Cuộc hội thảo trong tháng sẽ diễn ra vào tháng tới, hãy chuẩn bị sẵn các báo cáo liên quan."
Not Spam,"Chúng tôi đã xử lý xong yêu cầu thay đổi thanh toán của bạn, vui lòng xác nhận."
Spam,Đầu tư chỉ từ 100 đô la và thu về lợi nhuận ngay trong tháng
Spam,"Bạn đã được chọn mức ưu đãi giảm 75%, chỉ có hiệu lực trong vòng 24"
Spam,"Mua ngay điện thoại mới với giá rẻ hơn 50%, chỉ có tại đây!"
Spam,Xác minh tài khoản thông tin của bạn ngay lập tức để tránh bị khóa v
Spam,Bạn đã giải mã iPhone 15! Click vào đây để nhận phần
Spam,"Cơ hội tham gia chương trình đầu tư tài chính với lợi nhuận 20%/tháng, tham gia ngay!"
Spam,Hãy vào đây để nhận quà tặng miễn phí từ chương trình khách hàng thân thiết!
Spam,"Tài khoản của bạn đã được tấn công, hãy nhấp vào đây để lấy lại quyền kiểm soát ngay."
Spam,"Giảm giá toàn bộ cửa hàng, chỉ cần mua hàng trong hôm nay để nhận thêm quà!"
Spam,Đăng ký khóa học kiếm tiền trực tuyến với mức độ ưu đãi ngay hôm nay!
Not Spam,"Chuyến đi của bạn đã được xác nhận, vui lòng kiểm tra chi tiết tại email."
Not Spam,Bạn có một tin nhắn mới từ nhân viên về kế hoạch làm việc trong tháng tới.
Not Spam,Đây là lời khuyên về lịch khám sức khỏe của bạn vào tuần sau.
Not Spam,Thông báo mới về việc thay đổi chính sách lương của công ty.
Not Spam,"Đơn xin nghỉ phép của bạn đã được phê duyệt, vui lòng kiểm tra email để biết thêm chi tiết."
Not Spam,"Cuộc hội thảo trong tháng sẽ được tổ chức vào 10 giờ sáng ngày mai, vui lòng tham khảo đúng giờ."
Not Spam,"Đây là thông báo về việc cập nhật tài khoản ngân hàng của bạn, vui lòng truy cập để xem chi tiết."
Not Spam,"Sản phẩm bạn đặt hàng đã được giao, vui lòng xác nhận nhận hàng."
Not Spam,"Đơn hàng của bạn đã được xử lý, bạn có thể theo dõi trạng thái chuyển đổi trạng thái qua liên kết này."
Not Spam,"Bản tin tháng này đã được gửi tới bạn, đừng quên đọc để cập nhật những thông tin quan trọng."
Spam,Bạn vừa nhận được phiếu giảm giá trị 1 triệu đồng! Bấm vào đây để nhận ngay.
Spam,Bạn có thể nhận khoản vay lên tới 100 triệu mà không cần phải nhập bằng chứng! Nhấn vào đây để đăng ký.
Spam,"Nhận ngay iPhone 14 chỉ với 1 đô la, ưu đãi có giới hạn!"
Spam,"Bạn có 1 tin nhắn từ người lạ muốn kết nối với bạn, hãy nhấn vào đây để xem tin nhắn."
Spam,"Tài khoản email của bạn sắp hết dung lượng, bấm vào đây để mua thêm gói lưu trữ."
Spam,Tăng lượng người theo dõi Instagram của bạn tăng gấp đôi chỉ với 5 đô la! Bấm vào đây để biết thêm chi tiết.
Spam,"Bạn đã được chọn là người thưởng thức chuyến du lịch miễn phí, nhấn vào đây để nhận giải thưởng."
Spam,"Mua 1 tặng 1 tất cả sản phẩm, chỉ có hôm nay! Bấm để xem thêm chi tiết."
Spam,Hãy đăng ký ngay để nhận tư vấn miễn phí về cách kiếm tiền trực tuyến từ nhà.
Spam,"Vào đây để kích hoạt tài khoản ngân hàng của bạn, tránh bị đóng băng vĩnh viễn."
Not Spam,"Thông báo từ ngân hàng: Bạn vừa thực hiện giao dịch 5.000.000 VNĐ, vui lòng kiểm tra chi tiết."
Not Spam,Thông báo quan trọng của công ty: Vui lòng cập nhật thông tin cá nhân của bạn trong hệ thống nhân sự trước ngày 30.
Not Spam,"Hóa đơn tiền nước tháng này của bạn đã có sẵn, vui lòng truy cập để thanh toán."
Not Spam,"Lịch hẹn của bạn với bác sĩ vào ngày mai đã được xác nhận, xin mời đến đúng giờ."
Not Spam,"Đơn hàng của bạn đã được giao thành công, cảm ơn bạn đã mua hàng tại cửa hàng của chúng tôi."
Not Spam,Đây là lời nhắc về sự kiện thảo luận vào tuần tới mà bạn đã đăng ký tham dự.
Not Spam,"Bạn có một tin nhắn mới từ đồng nghiệp, vui lòng kiểm tra trong ứng dụng."
Not Spam,"Hướng dẫn sử dụng phần mềm mới đã được gửi vào email của bạn, vui lòng kiểm tra."
Not Spam,Thông báo từ nhà cung cấp dịch vụ: Hệ thống sẽ được bảo trì vào cuối tuần này.
Not Spam,"Bạn vừa yêu cầu thay đổi tài khoản mật khẩu, vui lòng xác nhận để hoàn tất quá trình."
Spam,"Chỉ còn 3 ngày! Giảm giá 90% cho tất cả các khóa học trực tuyến, đăng ký ngay!"
Spam,"Bạn đã được chọn nhận một phiếu quà tặng 500.000 VNĐ, nhấp vào đây để nhận!"
Spam,"Nhận ngay 50 đô la khi bạn đăng ký tham gia khảo sát này, nhấp vào đây để bắt đầu."
Spam,"Kiếm thêm thu nhập từ nhà dễ dàng, chỉ cần nhấp vào đây để tham gia chương trình."
Spam,Bạn đã trúng thưởng một chiếc TV 50 inch! Nhấn vào đây để nhận phần thưởng.
Spam,"Khóa học tiếng Anh miễn phí trong 3 tháng, đăng ký ngay để không bỏ lỡ!"
Spam,"Tài khoản của bạn đang gặp rủi ro bảo mật, nhấn vào đây để bảo vệ ngay bây giờ."
Spam,"Chương trình khuyến mãi siêu khủng, giảm đến 80% cho thành viên mới!"
Spam,"Bạn có thể mua sắm thả ga với lãi suất 0% từ thẻ tín dụng này, nhấp vào đây để đăng ký."
Spam,"Chúc mừng! Bạn đã được chọn để nhận thưởng một kỳ nghỉ miễn phí, nhấp vào đây để biết thêm chi tiết."
Not Spam,Thông báo từ ngân hàng: Giao dịch thanh toán hóa đơn 1.500.000 VND vừa được thực hiện thành công.
Not Spam,Cuộc họp của bạn với đối tác đã được xác nhận vào 9 giờ sáng thứ Tư tuần này.
Not Spam,Vui lòng xem xét tài liệu đính kèm để chuẩn bị cho cuộc họp ngày mai.
Not Spam,"Hóa đơn tiền điện tháng này của bạn đã được phát hành, vui lòng truy cập để thanh toán."
Not Spam,Đơn hàng của bạn đã được xử lý thành công và đang trong quá trình vận chuyển.
Not Spam,"Xin chào, đây là thông báo lịch hẹn khám sức khỏe định kỳ của bạn vào thứ Sáu tới."
Not Spam,"Cảm ơn bạn đã tham gia hội thảo trực tuyến, đây là bản ghi âm và tài liệu tham khảo."
Not Spam,"Thông báo từ bộ phận nhân sự: Đợt đánh giá hiệu suất sẽ bắt đầu từ tuần sau, vui lòng chuẩn bị."
Not Spam,"Lời nhắc: Bạn có một sự kiện quan trọng diễn ra vào tuần tới, đừng quên chuẩn bị."
Not Spam,"Chúng tôi đã cập nhật phần mềm bảo mật cho hệ thống của bạn, vui lòng kiểm tra email để tải về."